,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
2153,0,12,0,0,0,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,英語學系,042222,0.0,0.0,0.0,0.0,0.0,24,0.0,2,45,600,0.6,0.4,3
1458,0,0,0,12,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.6020599913279624,-3.4011973816621555,37,大葉大學,會計資訊學系(會計管理組),042152,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,600,0.8,0.1,2
1453,12,0,0,0,0,-0.9030899869919435,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,國際企業管理學系(跨境電商組),042182,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,600,0.5,0.3,5
1559,0,12,0,0,0,-0.5440680443502757,-0.5440680443502757,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,財務金融學系(投資管理組),042202,0.0,0.0,0.0,0.0,0.0,24,0.0,3,49,600,0.4,0.4,3
1605,0,0,12,0,0,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,37,大葉大學,企業管理學系(數位行銷組),042122,0.0,0.0,0.0,0.0,0.0,24,0.0,3,51,600,0.6,0.2,6
1611,0,0,0,0,0,-0.9030899869919435,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,運動健康管理學系,042522,0.0,0.0,0.0,0.0,0.0,24,0.0,3,208,600,0.6,0.4,5
1666,12,0,0,0,0,-1.4771212547196624,-3.4011973816621555,-3.4011973816621555,-1.3010299956639813,-3.4011973816621555,37,大葉大學,休閒事業管理學系,042342,6.0,0.0,0.0,5.25,0.0,13,3.0,2,78,600,0.7,0.2,2
1670,0,0,12,0,0,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,37,大葉大學,企業管理學系(經營管理組),042112,0.0,0.0,0.0,0.0,0.0,24,0.0,2,51,600,0.6,0.2,6
1699,0,0,0,12,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.7781512503836436,-3.4011973816621555,37,大葉大學,會計資訊學系(投資理財組）,042162,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,600,0.8,0.1,2
1730,12,0,0,0,0,-0.7403626894942439,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,國際企業管理學系(國際貿易組),042172,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,600,0.5,0.3,5
1740,0,12,0,0,0,-0.5440680443502757,-0.5440680443502757,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,財務金融學系(銀行專業組),042192,0.0,0.0,0.0,0.0,0.0,24,0.0,3,49,600,0.4,0.4,3
1893,0,0,0,12,0,-1.4771212547196624,-3.4011973816621555,-3.4011973816621555,-1.3010299956639813,-3.4011973816621555,37,大葉大學,觀光旅遊學系,042322,6.0,0.0,0.0,6.0,0.0,13,3.0,2,87,600,0.7,0.2,2
1920,0,12,0,0,0,-0.7781512503836436,-0.7781512503836436,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,財務金融學系(公司財務組),042212,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,600,0.4,0.4,3
1927,0,0,0,12,0,-1.4771212547196624,-3.4011973816621555,-3.4011973816621555,-1.3010299956639813,-3.4011973816621555,37,大葉大學,餐旅管理學系,042332,6.0,0.0,0.0,6.0,0.0,13,3.0,3,69,600,0.7,0.2,2
1937,0,12,0,0,0,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,資訊管理學系(系統管理組),042142,0.0,0.0,0.0,0.0,0.0,24,0.0,3,51,600,0.6,0.2,3
2070,0,12,0,0,0,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,資訊管理學系(數位經營組),042132,0.0,0.0,0.0,0.0,0.0,24,0.0,1,51,600,0.6,0.2,3
2112,0,0,0,0,12,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,37,大葉大學,生物資源學系(生態經營與生物多樣性組),042282,0.0,0.0,0.0,0.0,0.0,24,0.0,2,51,600,0.7,0.2,1
1457,0,0,0,12,0,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,37,大葉大學,傳播藝術學士學位學程,042412,0.0,0.0,0.0,0.0,0.0,24,0.0,2,75,600,0.7,0.3,2
1539,0,0,0,0,0,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,-1.0,-3.4011973816621555,37,大葉大學,視覺傳達設計學系(視覺設計組),042482,0.0,0.0,0.0,0.0,0.0,24,0.0,3,144,600,0.7,0.3,2
1781,0,12,0,0,0,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,應用日語學系,042232,0.0,0.0,0.0,0.0,0.0,24,0.0,1,102,600,0.6,0.4,3
2079,0,0,0,0,0,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,-1.0,-3.4011973816621555,37,大葉大學,視覺傳達設計學系(動態媒體組),042492,0.0,0.0,0.0,0.0,0.0,24,0.0,1,128,600,0.7,0.3,2
1445,0,0,12,0,0,-0.6532125137753437,-3.4011973816621555,-0.6532125137753437,-3.4011973816621555,-3.4011973816621555,37,大葉大學,機械與自動化工程學系(車輛科技與綠色能源組),042012,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,600,0.7,0.2,6
1481,0,0,12,0,0,-1.0,-3.4011973816621555,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,37,大葉大學,醫學工程學系,042392,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,600,0.7,0.2,6
1484,0,0,12,0,0,-0.6532125137753437,-3.4011973816621555,-0.6532125137753437,-3.4011973816621555,-3.4011973816621555,37,大葉大學,機械與自動化工程學系(微機電與精密機械組),042022,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,600,0.7,0.2,6
1497,0,0,0,0,0,-0.6989700043360189,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,工業設計學系,042422,0.0,0.0,0.0,0.0,0.0,24,0.0,2,100,600,0.8,0.2,3
1644,0,0,12,0,0,-0.6532125137753437,-3.4011973816621555,-0.6532125137753437,-3.4011973816621555,-3.4011973816621555,37,大葉大學,資訊工程學系(資訊工程組),042052,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,600,0.7,0.2,6
1682,0,0,0,0,12,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,37,大葉大學,材料科學與工程學系,042092,0.0,0.0,0.0,0.0,0.0,24,0.0,2,54,600,0.6,0.2,1
1685,0,12,0,0,0,-1.0,-1.0,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,醫學工程學系(智慧醫療組),042402,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,600,0.7,0.2,3
1796,0,0,0,0,12,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,37,大葉大學,電機工程學系,042042,0.0,0.0,0.0,0.0,0.0,24,0.0,1,66,600,0.7,0.2,1
1917,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,37,大葉大學,環境工程學系,042072,0.0,0.0,0.0,0.0,0.0,24,0.0,2,45,300,0.8,0.0,4
1924,0,0,0,12,0,-3.4011973816621555,-0.6989700043360189,-3.4011973816621555,-0.6989700043360189,-3.4011973816621555,37,大葉大學,環境工程學系(環境管理組),042082,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,300,0.8,0.0,2
1936,0,12,0,0,0,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,資訊工程學系(資訊應用組),042062,0.0,0.0,0.0,0.0,0.0,24,0.0,3,54,600,0.7,0.2,3
2003,0,0,12,0,0,-0.6020599913279624,-3.4011973816621555,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,37,大葉大學,機械與自動化工程學系(機電整合組),042032,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,600,0.7,0.2,6
1785,0,0,0,12,0,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,38,中華大學,行政管理學系,043282,0.0,0.0,0.0,0.0,0.0,24,0.0,1,87,750,0.6,0.2,2
1635,12,0,0,0,0,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,38,中華大學,景觀建築學系景觀設計組,043252,0.0,0.0,0.0,0.0,0.0,24,0.0,3,57,750,0.8,0.2,5
1692,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,38,中華大學,建築與都市計畫學系(第一類組),043232,0.0,0.0,0.0,0.0,0.0,24,0.0,2,60,750,0.7,0.25,4
1852,12,0,0,0,0,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,38,中華大學,景觀建築學系產品設計組,043262,0.0,0.0,0.0,0.0,0.0,24,0.0,1,51,750,0.8,0.2,5
2041,0,0,12,0,0,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,38,中華大學,建築與都市計畫學系(第二類組),043242,0.0,0.0,0.0,0.0,0.0,24,0.0,1,51,750,0.7,0.25,6
1980,0,0,12,0,0,-3.4011973816621555,-3.4011973816621555,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,38,中華大學,財務管理學系會計資訊與稅務組,043222,0.0,0.0,0.0,0.0,0.0,24,0.0,1,50,750,0.7,0.15,6
1506,0,0,12,0,0,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,38,中華大學,財務管理學系金融資訊管理組,043202,0.0,0.0,0.0,0.0,0.0,24,0.0,3,45,750,0.7,0.15,6
