,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
744,50,75,0,0,0,3.0,3.0,29.999999999999996,29.999999999999996,29.999999999999996,-2.8502662,38.824413,44,國立臺灣藝術大學,電影學系,056032,0.0,0.0,0.0,0.0,0.0,24,0.0,2,30,1500,0.4,0.3,3
869,0,0,0,0,0,10.0,10.0,29.999999999999996,29.999999999999996,29.999999999999996,9.002901,40.276302,44,國立臺灣藝術大學,舞蹈學系,056212,0.0,0.0,0.0,0.0,0.0,24,0.0,3,350,1500,0.0,0.0,3
381,50,12,0,50,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-21.895994,0.25639877,44,國立臺灣藝術大學,古蹟藝術修護學系,056172,0.0,0.0,0.0,0.0,0.0,24,0.0,1,50,1500,0.2,0.2,2
1187,50,50,0,50,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-20.954588,1.0331837,44,國立臺灣藝術大學,廣播電視學系,056022,4.5,4.5,0.0,3.0,0.0,7,3.0,2,30,1500,0.2,0.3,2
514,50,50,0,0,0,4.0,4.0,29.999999999999996,29.999999999999996,29.999999999999996,-1.8598293,39.4498,44,國立臺灣藝術大學,視覺傳達設計學系,056182,0.0,0.0,0.0,0.0,0.0,24,0.0,2,40,1500,0.3,0.3,3
932,50,50,0,50,50,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-20.273457,0.2507748,44,國立臺灣藝術大學,圖文傳播藝術學系,056012,6.0,6.0,0.0,3.0,3.0,10,3.0,3,30,1500,0.3,0.3,2
76,75,75,75,0,0,5.000000000000001,3.0,4.0,29.999999999999996,29.999999999999996,11.3124895,13.08015,10,國立清華大學,清華學院學士班甲組(不分系招生-音樂),011432,0.0,0.0,0.0,0.0,0.0,24,0.0,2,18,1300,0.4,0.3,4
122,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-15.371086,-18.466022,10,國立清華大學,藝術與設計學系設計組,011572,0.0,0.0,0.0,0.0,0.0,24,0.0,1,75,1300,0.4,0.2,7
128,75,75,75,0,0,5.000000000000001,4.0,4.0,29.999999999999996,29.999999999999996,11.052864,13.028443,10,國立清華大學,清華學院學士班乙組(不分系招生-美術),011442,0.0,0.0,0.0,0.0,0.0,24,0.0,1,24,1300,0.4,0.3,4
265,75,75,75,0,88,29.999999999999996,5.000000000000001,10.0,29.999999999999996,3.0,41.80717,5.6554804,10,國立清華大學,醫學科學系,011412,0.0,0.0,0.0,0.0,0.0,24,0.0,1,60,1100,0.2,0.4,1
